"","name","address","type","fullLocation","lat","lng"
"180","Duong Dong","Phu Quoc Island",NA,"Duong Dong, Phu Quoc Island",NA,NA
"181","Ong Pagoda","Tra Vinh",NA,"Ong Pagoda, Tra Vinh",NA,NA
"182","Sao Beach","Phu Quoc Island",NA,"Sao Beach, Phu Quoc Island",NA,NA
"183","Giant Jesus","Vung Tau",NA,"Giant Jesus, Vung Tau",NA,NA
"184","President Ho Chi Minh Temple","Tra Vinh",NA,"President Ho Chi Minh Temple, Tra Vinh",NA,NA
"185","Muong Cultural Museum","Hoa Binh",NA,"Muong Cultural Museum, Hoa Binh",NA,NA
"186","Quang Trung Museum","South-East Coast",NA,"Quang Trung Museum, South-East Coast",NA,NA
"187","Marble Mountains","Around Danang",NA,"Marble Mountains, Around Danang",NA,NA
"188","Ako Dhong Village","Buon Ma Thuot",NA,"Ako Dhong Village, Buon Ma Thuot",NA,NA
"189","Nui Coc Reservoir","Northeast Vietnam",NA,"Nui Coc Reservoir, Northeast Vietnam",NA,NA
"190","Markets","Ha Tien",NA,"Markets, Ha Tien",NA,NA
"191","Other Groups","My Son",NA,"Other Groups, My Son",NA,NA
"192","Imperial Citadel","Hanoi",NA,"Imperial Citadel, Hanoi",NA,NA
"193","Bunker of General Giap","Pa Khoang Lake",NA,"Bunker of General Giap, Pa Khoang Lake",NA,NA
"194","Cannon Fort","Cat Ba Island",NA,"Cannon Fort, Cat Ba Island",NA,NA
"195","Cu Chi Wildlife Rescue Station","Cu Chi",NA,"Cu Chi Wildlife Rescue Station, Cu Chi",NA,NA
"196","Thai Hoa Palace","Hue",NA,"Thai Hoa Palace, Hue",NA,NA
"197","Cua Can & Ong Lan Beaches","Phu Quoc Island",NA,"Cua Can & Ong Lan Beaches, Phu Quoc Island",NA,NA
"198","Cat Tien National Park","Cat Tien National Park",NA,"Cat Tien National Park, Cat Tien National Park",NA,NA
"199","Buddha","Nha Trang",NA,"Buddha, Nha Trang",NA,NA
"200","Floating Houses","Chau Doc",NA,"Floating Houses, Chau Doc",NA,NA
"201","Kh’leang Pagoda","Soc Trang",NA,"Kh’leang Pagoda, Soc Trang",NA,NA
"202","Memorial House","Hanoi",NA,"Memorial House, Hanoi",NA,NA
"203","Venerable Thich Quang Duc Memorial","Ho Chi Minh City",NA,"Venerable Thich Quang Duc Memorial, Ho Chi Minh City",NA,NA
"204","Old French Prison & Museum","Son La",NA,"Old French Prison & Museum, Son La",NA,NA
"205","My Khe","China Beach",NA,"My Khe, China Beach",NA,NA
"206","Hang En","Phong Nha-Ke Bang National Park",NA,"Hang En, Phong Nha-Ke Bang National Park",NA,NA
"207","Can Gio Mangrove Forest","Around Ho Chi Minh City",NA,"Can Gio Mangrove Forest, Around Ho Chi Minh City",NA,NA
"208","Ong Ngu","Cham Islands",NA,"Ong Ngu, Cham Islands",NA,NA
"209","Van Long Nature Reserve","Van Long Nature Reserve",NA,"Van Long Nature Reserve, Van Long Nature Reserve",NA,NA
"210","Nine Holy Cannons","Hue",NA,"Nine Holy Cannons, Hue",NA,NA
"211","Duc Thanh","Hue",NA,"Duc Thanh, Hue",NA,NA
"212","Forbidden Purple City","Hue",NA,"Forbidden Purple City, Hue",NA,NA
"213","Cham Cultural Centre","Phan Rang & Thap Cham",NA,"Cham Cultural Centre, Phan Rang & Thap Cham",NA,NA
"214","Duong Long Cham Towers","Cha Ban Cham Area",NA,"Duong Long Cham Towers, Cha Ban Cham Area",NA,NA
"215","Dong Ho","Ha Tien",NA,"Dong Ho, Ha Tien",NA,NA
"216","Phu Quoc National Park","Phu Quoc Island",NA,"Phu Quoc National Park, Phu Quoc Island",NA,NA
"217","Ngoc Tien Monastery","Ha Tien",NA,"Ngoc Tien Monastery, Ha Tien",NA,NA
"218","Tam Bao Pagoda","Ha Tien",NA,"Tam Bao Pagoda, Ha Tien",NA,NA
"219","Military Museum","Ho Chi Minh City",NA,"Military Museum, Ho Chi Minh City",NA,NA
"220","Bai Dat Doc","Con Dao Islands",NA,"Bai Dat Doc, Con Dao Islands",NA,NA
"221","Ho Chi Minh’s Stilt House","Hanoi",NA,"Ho Chi Minh’s Stilt House, Hanoi",NA,NA
"222","Con Son Pagoda Complex","Northeast Vietnam",NA,"Con Son Pagoda Complex, Northeast Vietnam",NA,NA
"223","Dak Lak Museum","Buon Ma Thuot",NA,"Dak Lak Museum, Buon Ma Thuot",NA,NA
"224","Museum of Ethnology","Northeast Vietnam",NA,"Museum of Ethnology, Northeast Vietnam",NA,NA
"225","Military Museum","Can Tho",NA,"Military Museum, Can Tho",NA,NA
"226","Flag Tower","Hue",NA,"Flag Tower, Hue",NA,NA
"227","Huong Pagoda","Sa Dec",NA,"Huong Pagoda, Sa Dec",NA,NA
"228","San Chim Vam Ho Bird Sanctuary","Mekong Delta",NA,"San Chim Vam Ho Bird Sanctuary, Mekong Delta",NA,NA
"229","Tran Duong House","Hoi An",NA,"Tran Duong House, Hoi An",NA,NA
"230","Dien Tho Residence","Hue",NA,"Dien Tho Residence, Hue",NA,NA
"231","Lung Cu","Dong Van",NA,"Lung Cu, Dong Van",NA,NA
"232","Bich Dong Pagoda","Tam Coc",NA,"Bich Dong Pagoda, Tam Coc",NA,NA
"233","Tam Bao Pagoda","Rach Gia",NA,"Tam Bao Pagoda, Rach Gia",NA,NA
"234","Mua Cave","Ninh Binh Province",NA,"Mua Cave, Ninh Binh Province",NA,NA
"235","Elephant Falls","Dalat & Around",NA,"Elephant Falls, Dalat & Around",NA,NA
"236","Thanh Toan Bridge","Around Hue",NA,"Thanh Toan Bridge, Around Hue",NA,NA
"237","Temple of King Hung Vuong","Ho Chi Minh City",NA,"Temple of King Hung Vuong, Ho Chi Minh City",NA,NA
"238","Temples","Hoa Lu",NA,"Temples, Hoa Lu",NA,NA
"239","Blue Sky Crocodile Land","Long Xuyen",NA,"Blue Sky Crocodile Land, Long Xuyen",NA,NA
"240","War Martyrs Monument","Cao Lanh",NA,"War Martyrs Monument, Cao Lanh",NA,NA
"241","Bach Ma National Park","Bach Ma National Park",NA,"Bach Ma National Park, Bach Ma National Park",NA,NA
"242","Cu Chi War History Museum","Cu Chi",NA,"Cu Chi War History Museum, Cu Chi",NA,NA
"243","Pho Binh","Ho Chi Minh City",NA,"Pho Binh, Ho Chi Minh City",NA,NA
"244","French Field Guns","Vung Tau",NA,"French Field Guns, Vung Tau",NA,NA
"245","Royal Fine Arts Museum","Hue",NA,"Royal Fine Arts Museum, Hue",NA,NA
"246","Uncle Ho Temple","Tra Vinh",NA,"Uncle Ho Temple, Tra Vinh",NA,NA
"247","Chinese All-Community Assembly Hall","Hoi An",NA,"Chinese All-Community Assembly Hall, Hoi An",NA,NA
"248","Phu Binh Camp","Con Dao Islands",NA,"Phu Binh Camp, Con Dao Islands",NA,NA
"249","Queen’s Beach","Quy Nhon",NA,"Queen’s Beach, Quy Nhon",NA,NA
"250","Po Nagar","Nha Trang",NA,"Po Nagar, Nha Trang",NA,NA
"251","Pongour Falls","Dalat & Around",NA,"Pongour Falls, Dalat & Around",NA,NA
"252","Tiger Falls","Dalat & Around",NA,"Tiger Falls, Dalat & Around",NA,NA
"253","Immaculate Conception Cathedral","Kon Tum",NA,"Immaculate Conception Cathedral, Kon Tum",NA,NA
"254","Lang Dinh An","Dalat & Around",NA,"Lang Dinh An, Dalat & Around",NA,NA
"255","Cholon Jamail Mosque","Ho Chi Minh City",NA,"Cholon Jamail Mosque, Ho Chi Minh City",NA,NA
"256","To Mieu Temple","Hue",NA,"To Mieu Temple, Hue",NA,NA
"257","Beach","Cham Islands",NA,"Beach, Cham Islands",NA,NA
"258","Con Thien Firebase","Demilitarised Zone (Dmz)",NA,"Con Thien Firebase, Demilitarised Zone (Dmz)",NA,NA
"259","Duyen Hai","Can Gio",NA,"Duyen Hai, Can Gio",NA,NA
"260","Ton Duc Thang Museum","Ho Chi Minh City",NA,"Ton Duc Thang Museum, Ho Chi Minh City",NA,NA
"261","Vietnamese Women’s Museum","Hanoi",NA,"Vietnamese Women’s Museum, Hanoi",NA,NA
"262","Presidential Palace","Hanoi",NA,"Presidential Palace, Hanoi",NA,NA
"263","Museum of Trading Ceramics","Hoi An",NA,"Museum of Trading Ceramics, Hoi An",NA,NA
"264","Khmer Museum","Soc Trang",NA,"Khmer Museum, Soc Trang",NA,NA
"265","Assembly Hall of the Chaozhou Chinese Congregation","Hoi An",NA,"Assembly Hall of the Chaozhou Chinese Congregation, Hoi An",NA,NA
"266","Con Dao Museum","Con Dao Islands",NA,"Con Dao Museum, Con Dao Islands",NA,NA
"267","Phat Lon Pagoda","Rach Gia",NA,"Phat Lon Pagoda, Rach Gia",NA,NA
